xvec,yvec
-3.141592653589793,0.9092974268256817
-3.0781261353354537,0.933860380448698
-3.0146596170811146,0.9546630079198495
-2.951193098826775,0.971621544400468
-2.887726580572436,0.9846677038495553
-2.8242600623180967,0.9937489539875709
-2.7607935440637577,0.9988287278253796
-2.697327025809418,0.9998865709066109
-2.633860507555079,0.9969182236705362
-2.5703939893007397,0.9899356386038152
-2.5069274710464007,0.9789669321120519
-2.443460952792061,0.9640562713049516
-2.379994434537722,0.9452636961509602
-2.3165279162833827,0.9226648777175
-2.2530613980290433,0.8963508134702911
-2.1895948797747042,0.8664274608586715
-2.126128361520365,0.8330153106623476
-2.0626618432660258,0.7962489018175495
-1.9991953250116865,0.7562762796762199
-1.9357288067573473,0.7132583998796352
-1.872262288503008,0.667368480246843
-1.8087957702486688,0.618791303287643
-1.7453292519943295,0.5677224721486382
-1.6818627337399903,0.5143676229884003
-1.6183962154856508,0.4589415969532351
-1.5549296972313116,0.40166757508771606
-1.4914631789769723,0.34277617966338697
-1.427996660722633,0.2825045455442701
-1.3645301424682938,0.22109536532846508
-1.3010636242139546,0.15879591211071378
-1.2375971059596154,0.09585704380092078
-1.1741305877052761,0.032532193007887775
-1.1106640694509369,-0.030923653444353626
-1.0471975511965974,-0.0942549812584854
-0.9837310329422584,-0.15720677752979714
-0.9202645146879189,-0.21952555759314935
-0.8567979964335799,-0.28096038571625115
-0.7933314781792404,-0.3412638855292915
-0.7298649599249014,-0.4001932361222668
-0.666398441670562,-0.4575111497990872
-0.6029319234162229,-0.5129868275513757
-0.5394654051618835,-0.5663968884046195
-0.47599888690754444,-0.61752626889451
-0.412532368653205,-0.6661690890516112
-0.34906585039886595,-0.7121294814073302
-0.2855993321445265,-0.7552223796830854
-0.22213281389018746,-0.7952742639868893
-0.158666295635848,-0.8321238595167143
-0.09519977738150853,-0.8656227859571964
-0.03173325912716951,-0.8956361549547972
0.031733259127169955,-0.9220431132655952
0.09519977738150898,-0.9447373293886439
0.15866629563584844,-0.9636274217253982
0.22213281389018746,-0.9786373265411581
0.28559933214452693,-0.9897066042468832
0.34906585039886595,-0.9967906827680849
0.4125323686532054,-0.9998610370208398
0.47599888690754444,-0.9989053037722345
0.5394654051618839,-0.9939273314227409
0.6029319234162229,-0.9849471645100663
0.6663984416705624,-0.9720009629968738
0.7298649599249014,-0.9551408566673762
0.7933314781792409,-0.9344347352190926
0.8567979964335799,-0.9099659748949991
0.9202645146879194,-0.8818331027568238
0.9837310329422584,-0.8501493999513456
1.0471975511965983,-0.8150424455671963
1.1106640694509373,-0.7766536029189007
1.1741305877052763,-0.7351374503267005
1.2375971059596154,-0.690661158684217
1.3010636242139553,-0.6434038183202637
1.3645301424682943,-0.5935557178653038
1.4279966607226333,-0.5413175780262925
1.4914631789769723,-0.4868997433552354
1.5549296972313122,-0.4305213352659164
1.6183962154856513,-0.372409369709305
1.6818627337399903,-0.3127978430604407
1.7453292519943293,-0.25192678989762163
1.8087957702486692,-0.19004131646787462
1.8722622885030082,-0.1273906137306108
1.9357288067573473,-0.06422695395357715
1.9991953250116872,-0.0008046749014747397
2.062661843266026,0.06262084429245003
2.126128361520365,0.1257942114480459
2.1895948797747042,0.18846104971242356
2.253061398029044,0.2503690218457633
2.316527916283383,0.31126884629431545
2.379994434537722,0.37091530095924014
2.443460952792061,0.4290682106194462
2.506927471046401,0.48549341403243984
2.57039398930074,0.5399637068189993
2.633860507555079,0.5922597563350245
2.697327025809418,0.6421709848466789
2.760793544063758,0.689496417452604
2.824260062318097,0.7340454913389111
2.887726580572436,0.7756388231083785
2.951193098826776,0.8141089310940784
3.014659617081115,0.8493009097489364
3.078126135335454,0.8810730533956992
3.141592653589793,0.9092974268256816
